date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:48:56	24/24	---M--	200	added ('OK')	text/plain	etag:%22601d9fd5-18%22	https://rosecutebear.com/robots.txt		(from )
20:48:56	11890/11890	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:48:56%20GMT	https://rosecutebear.com/	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/index.html	(from )
20:48:59	243296/243296	---M--	200	added ('OK')	image/png	etag:%22a14fe38c6257926921c9fc685c597938%22	https://d1o20x5nql3wo5.cloudfront.net/products/rosealcutebear/product-share.png	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/products/rosealcutebear/product-share.png	(from https://rosecutebear.com/)
20:49:00	15065/15065	---M--	200	added ('OK')	image/png	etag:%22b67661d2843d8d7f1c97bed089f3133a%22	https://d1o20x5nql3wo5.cloudfront.net/products/rosealcutebear/favicon.png	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/products/rosealcutebear/favicon.png	(from https://rosecutebear.com/)
20:49:00	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2006%20Feb%202021%2012:49:00%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/RoseBear/www.googletagmanager.com/gtm.25445.delayed	(from https://rosecutebear.com/)
20:49:01	97969/97969	---MCZ	200	added ('OK')	text/css	etag:W/%22601da162-17eb1%22	https://rosecutebear.com/salespages/rosealcutebear/css/app.css?v=1dfee0f5b870	C:/My%20Web%20Sites/RoseBear/rosecutebear.com/salespages/rosealcutebear/css/appe5e0.css	(from https://rosecutebear.com/)
20:49:02	7882/7882	---M--	200	added ('OK')	image/png	etag:%22b995f37a9fe69eaa14df0cee99edf4f4%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/product-image.png	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/product-image.png	(from https://rosecutebear.com/)
20:49:04	108790/108790	---M--	200	added ('OK')	image/png	etag:%223feb5b19973aff8ce49cf50ebe5fa304%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/banner-image.png	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/banner-image.png	(from https://rosecutebear.com/)
20:49:05	34775/34775	---M--	200	added ('OK')	image/jpeg	etag:%223ef30c1e212ec282ef67fd9ae0b34747%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/horizontal/1.jpg	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/horizontal/1.jpg	(from https://rosecutebear.com/)
20:49:06	39555/39555	---M--	200	added ('OK')	image/jpeg	etag:%221fdc0e8e92a9bc4bf847edfb7008b36e%22	https://d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/horizontal/2.jpg	C:/My%20Web%20Sites/RoseBear/d1o20x5nql3wo5.cloudfront.net/salespages/rosealcutebear/horizontal/2.jpg	(from https://rosecutebear.com/)
